TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2022,CD,413,6,Queens Village (CD13),5.8,6.0,92
2022,CD,414,6,Rockaway and Broad Channel (CD14),7.4,7.9,65
2022,CD,501,6,St. George and Stapleton (CD1),9.5,9.7,143
2022,CD,502,6,South Beach and Willowbrook (CD2),4.6,5.3,61
2022,CD,503,6,Tottenville and Great Kills (CD3),2.8,3.0,37
2022,UHF42,101,4,Kingsbridge - Riverdale,6.2,7.0,51
2022,UHF42,102,4,Northeast Bronx,12.3,13.2,208
2022,UHF42,103,4,Fordham - Bronx Pk,16.2,16.1,302
2022,UHF42,104,4,Pelham - Throgs Neck,14.0,14.4,324
2022,UHF42,105,4,Crotona - Tremont,21.2,21.0,321
2022,UHF42,106,4,High Bridge - Morrisania,19.3,19.4,301
2022,UHF42,107,4,Hunts Point - Mott Haven,24.2,24.3,251
2022,UHF42,201,4,Greenpoint,4.7,4.1,46
2022,UHF42,202,4,Downtown - Heights - Slope,5.7,5.2,111
2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,9.1,9.0,246
2022,UHF42,204,4,East New York,8.4,8.6,128
2022,UHF42,205,4,Sunset Park,4.3,4.3,39
2022,UHF42,206,4,Borough Park,1.8,1.9,44
2022,UHF42,207,4,East Flatbush - Flatbush,7.5,7.7,179
2022,UHF42,208,4,Canarsie - Flatlands,5.9,5.8,93
2022,UHF42,209,4,Bensonhurst - Bay Ridge,1.8,1.9,30
2022,UHF42,210,4,Coney Island - Sheepshead Bay,4.2,4.5,102
2022,UHF42,211,4,Williamsburg - Bushwick,9.3,8.8,149
2022,UHF42,301,4,Washington Heights,6.8,6.8,142
2022,UHF42,302,4,Central Harlem - Morningside Heights,11.6,11.2,165
2022,UHF42,303,4,East Harlem,11.7,12.1,107
2022,UHF42,304,4,Upper West Side,3.9,3.7,72
2022,UHF42,305,4,Upper East Side,1.2,1.4,24
2022,UHF42,306,4,Chelsea - Clinton,3.2,3.1,44
2022,UHF42,307,4,Gramercy Park - Murray Hill,2.1,2.0,24
2022,UHF42,308,4,Greenwich Village - SoHo,0.8*,0.9*,6*
2022,UHF42,309,4,Union Square - Lower East Side,4.7,4.7,77
2022,UHF42,310,4,Lower Manhattan,3.5,3.0,16
2022,UHF42,401,4,Long Island City - Astoria,3.7,3.7,63
2022,UHF42,402,4,West Queens,3.8,3.9,140
2022,UHF42,403,4,Flushing - Clearview,2.7,2.8,59
2022,UHF42,404,4,Bayside - Little Neck,2.2,2.5,18
2022,UHF42,405,4,Ridgewood - Forest Hills,3.1,3.0,62
2022,UHF42,406,4,Fresh Meadows,4.6,4.9,39
2022,UHF42,407,4,Southwest Queens,4.4,4.5,97
2022,UHF42,408,4,Jamaica,8.1,8.5,218
2022,UHF42,409,4,Southeast Queens,5.4,5.6,97
2022,UHF42,410,4,Rockaways,6.1,6.5,65
2022,UHF42,501,4,Port Richmond,11.5,11.7,63
2022,UHF42,502,4,Stapleton - St. George,9.0,9.8,99
2022,UHF42,503,4,Willowbrook,4.2,4.4,33
2022,UHF42,504,4,South Beach - Tottenville,2.7,3.0,46
2022,Borough,1,1,Bronx,16.6,17.0,"1,785"
2022,Borough,2,1,Brooklyn,5.8,5.8,"1,180"
2022,Borough,3,1,Manhattan,5.0,5.0,693
2022,Borough,4,1,Queens,4.9,5.1,932
2022,Borough,5,1,Staten Island,6.0,6.3,243
2022,Citywide,1,0,New York City,7.0,7.2,"4,833"
2021,CD,101,6,Financial District (CD1),2.1*,1.8*,9*
2021,CD,102,6,Greenwich Village and Soho (CD2),0.7*,0.7*,5*
2021,CD,103,6,Lower East Side and Chinatown (CD3),5.1,5.4,77
2021,CD,104,6,Clinton and Chelsea (CD4),2.8,2.7,34
2021,CD,105,6,Midtown (CD5),3.9,3.6,19
2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),2.3,2.0,24
2021,CD,107,6,Upper West Side (CD7),2.4,2.2,37
2021,CD,108,6,Upper East Side (CD8),1.7,1.6,29
2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),8.1,7.7,67
2021,CD,110,6,Central Harlem (CD10),12.2,12.0,107
2021,CD,111,6,East Harlem (CD11),9.0,9.1,87
2021,CD,112,6,Washington Heights and Inwood (CD12),5.8,6.0,92
2021,CD,201,6,Mott Haven and Melrose (CD1),23.2,23.3,164
2021,CD,202,6,Hunts Point and Longwood (CD2),15.6,15.6,63
2021,CD,203,6,Morrisania and Crotona (CD3),20.7,20.6,132
2021,CD,204,6,Highbridge and Concourse (CD4),12.2,12.2,138
2021,CD,205,6,Fordham and University Heights (CD5),16.5,15.8,153
2021,CD,206,6,Belmont and East Tremont (CD6),22.0,21.3,131
2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),10.9,10.6,115
2021,CD,208,6,Riverdale and Fieldston (CD8),5.8,6.2,50
2021,CD,209,6,Parkchester and Soundview (CD9),13.9,14.3,200
2021,CD,210,6,Throgs Neck and Co-op City (CD10),6.4,7.1,68
2021,CD,211,6,Morris Park and Bronxdale (CD11),12.0,12.4,109
2021,CD,212,6,Williamsbridge and Baychester (CD12),15.6,16.0,187
2021,CD,301,6,Greenpoint and Williamsburg (CD1),2.8,2.4,37
2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),4.9,4.5,52
2021,CD,303,6,Bedford Stuyvesant (CD3),5.9,5.7,66
2021,CD,304,6,Bushwick (CD4),8.2,7.9,67
2021,CD,305,6,East New York and Starrett City (CD5),8.4,8.6,113
2021,CD,306,6,Park Slope and Carroll Gardens (CD6),4.4,3.3,30
2021,CD,307,6,Sunset Park (CD7),3.6,3.4,35
2021,CD,308,6,Crown Heights and Prospect Heights (CD8),5.1,5.0,39
2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),4.0,4.1,32
2021,CD,310,6,Bay Ridge and Dyker Heights (CD10),1.3,1.3,15
2021,CD,311,6,Bensonhurst (CD11),1.1,1.2,20
2021,CD,312,6,Borough Park (CD12),1.1,1.1,15
2021,CD,313,6,Coney Island (CD13),8.1,7.5,67
2021,CD,314,6,Flatbush and Midwood (CD14),4.8,4.9,62
2021,CD,315,6,Sheepshead Bay (CD15),1.7,1.9,27
2021,CD,316,6,Brownsville (CD16),12.9,13.1,80
2021,CD,317,6,East Flatbush (CD17),6.9,6.9,85
2021,CD,318,6,Flatlands and Canarsie (CD18),5.5,5.6,83
2021,CD,401,6,Long Island City and Astoria (CD1),3.0,3.0,48
2021,CD,402,6,Woodside and Sunnyside (CD2),2.2,2.3,29
2021,CD,403,6,Jackson Heights (CD3),3.2,3.3,46
2021,CD,404,6,Elmhurst and Corona (CD4),2.9,3.0,45
2021,CD,405,6,Ridgewood and Maspeth (CD5),2.2,2.2,27
2021,CD,406,6,Rego Park and Forest Hills (CD6),2.0,1.7,16
2021,CD,407,6,Flushing and Whitestone (CD7),1.7,1.7,38
2021,CD,408,6,Hillcrest and Fresh Meadows (CD8),4.4,4.7,58
2021,CD,409,6,Kew Gardens and Woodhaven (CD9),6.4,6.4,72
2021,CD,410,6,South Ozone Park and Howard Beach (CD10),3.0,3.3,32
2021,CD,411,6,Bayside and Little Neck (CD11),2.2,2.4,23
2021,CD,412,6,Jamaica and Hollis (CD12),8.7,9.0,166
2021,CD,413,6,Queens Village (CD13),4.9,5.1,81
2021,CD,414,6,Rockaway and Broad Channel (CD14),4.9,5.0,42
2021,CD,501,6,St. George and Stapleton (CD1),5.1,5.1,75
2021,CD,502,6,South Beach and Willowbrook (CD2),3.6,3.9,45
2021,CD,503,6,Tottenville and Great Kills (CD3),2.6,2.2,28
2021,UHF42,101,4,Kingsbridge - Riverdale,5.5,5.8,43
