TimePeriod,GeoType,GeoID,GeoRank,Geography,"Average annual rate per 10,000",Number
2014-2016,NTA2010,8102,9,Springfield Gardens North,350.7,157
2014-2016,NTA2010,8103,9,Springfield Gardens South-Brookville,320.1,149
2014-2016,NTA2010,8105,9,Rosedale,295.7,139
2014-2016,NTA2010,8106,9,Jamaica Estates-Holliswood,139.3,59
2014-2016,NTA2010,8107,9,Hollis,303.7,112
2014-2016,NTA2010,8108,9,St. Albans,301.3,277
2014-2016,NTA2010,8110,9,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,86.2,40
2014-2016,NTA2010,8112,9,Hammels-Arverne-Edgemere,251.7,220
2014-2016,NTA2010,8115,9,Far Rockaway-Bayswater,144.8,220
2014-2016,NTA2010,8117,9,Forest Hills,59.2,92
2014-2016,NTA2010,8118,9,Rego Park,67.2,32
2014-2016,NTA2010,8119,9,Glendale,125.4,80
2014-2016,NTA2010,8120,9,Ridgewood,199.8,324
2014-2016,NTA2010,8121,9,Middle Village,68.8,43
2014-2016,NTA2010,8122,9,Flushing,106.5,110
2014-2016,NTA2010,8123,9,College Point,163.9,90
2014-2016,NTA2010,8125,9,Corona,175.2,245
2014-2016,NTA2010,8126,9,North Corona,177.9,280
2014-2016,NTA2010,8127,9,East Elmhurst,232.4,116
2014-2016,NTA2010,8128,9,Jackson Heights,118.4,252
2014-2016,NTA2010,8129,9,Elmhurst,130.8,226
2014-2016,NTA2010,8130,9,Maspeth,87.4,51
2014-2016,NTA2010,8131,9,Hunters Point-Sunnyside-West Maspeth,64.8,79
2014-2016,NTA2010,8133,9,Cambria Heights,288.8,82
2014-2016,NTA2010,8134,9,Queens Village,205.6,198
2014-2016,NTA2010,8135,9,Briarwood-Jamaica Hills,217.3,179
2014-2016,NTA2010,8137,9,Kew Gardens Hills,105.9,113
2014-2016,NTA2010,8138,9,Pomonok-Flushing Heights-Hillcrest,182.0,104
2014-2016,NTA2010,8141,9,Fresh Meadows-Utopia,55.4,20
2014-2016,NTA2010,8142,9,Oakland Gardens,71.1,30
2014-2016,NTA2010,8143,9,Bellerose,66.1,31
2014-2016,NTA2010,8144,9,Glen Oaks-Floral Park-New Hyde Park,51.2,14
2014-2016,NTA2010,8145,9,Douglas Manor-Douglaston-Little Neck,23.8*,9*
2014-2016,NTA2010,8146,9,Bayside-Bayside Hills,34.9,26
2014-2016,NTA2010,8147,9,Ft. Totten-Bay Terrace-Clearview,34.3,12
2014-2016,NTA2010,8148,9,Auburndale,56.1,18
2014-2016,NTA2010,8149,9,Whitestone,61.8,34
2014-2016,NTA2010,8150,9,Elmhurst-Maspeth,189.2,94
2014-2016,NTA2010,8151,9,Murray Hill,149.3,123
2014-2016,NTA2010,8152,9,East Flushing,132.6,59
2014-2016,NTA2010,8153,9,Woodhaven,161.1,206
2014-2016,NTA2010,8154,9,Richmond Hill,236.0,341
2014-2016,NTA2010,8155,9,South Ozone Park,194.5,304
2014-2016,NTA2010,8156,9,Ozone Park,176.7,85
2014-2016,NTA2010,8157,9,Lindenwood-Howard Beach,105.9,49
2014-2016,NTA2010,8160,9,Kew Gardens,119.7,54
2014-2016,NTA2010,8161,9,Jamaica,318.2,406
2014-2016,NTA2010,8162,9,Queensboro Hill,110.6,42
2014-2016,NTA2010,8163,9,Woodside,97.1,77
2014-2016,NTA2010,8166,9,Laurelton,245.9,94
2014-2016,NTA2010,8168,9,Queensbridge-Ravenswood-Long Island City,285.9,107
2014-2016,NTA2010,8170,9,Astoria,88.9,98
2014-2016,NTA2010,8171,9,Old Astoria,150.4,71
2014-2016,NTA2010,8172,9,Steinway,56.5,42
2014-2016,NTA2010,8176,9,Baisley Park,341.5,253
2014-2016,NTA2010,8501,9,Annadale-Huguenot-Prince's Bay-Eltingville,37.0,16
2014-2016,NTA2010,8505,9,New Springville-Bloomfield-Travis,70.9,48
2014-2016,NTA2010,8507,9,Westerleigh,76.8,31
2014-2016,NTA2010,8508,9,Grymes Hill-Clifton-Fox Hills,244.4,105
2014-2016,NTA2010,8511,9,Charleston-Richmond Valley-Tottenville,33.3,14
2014-2016,NTA2010,8512,9,Mariner's Harbor-Arlington-Port Ivory-Graniteville,264.9,168
2014-2016,NTA2010,8514,9,Grasmere-Arrochar-Ft. Wadsworth,97.1,25
2014-2016,NTA2010,8522,9,West New Brighton-New Brighton-St. George,277.3,193
2014-2016,NTA2010,8524,9,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,58.2,26
2014-2016,NTA2010,8525,9,Oakwood-Oakwood Beach,60.2,19
2014-2016,NTA2010,8528,9,Port Richmond,123.9,51
2014-2016,NTA2010,8532,9,Rossville-Woodrow,42.1,15
2014-2016,NTA2010,8535,9,New Brighton-Silver Lake,106.8,37
2014-2016,NTA2010,8536,9,Old Town-Dongan Hills-South Beach,71.4,28
2014-2016,NTA2010,8537,9,Stapleton-Rosebank,233.1,121
2014-2016,NTA2010,8545,9,New Dorp-Midland Beach,54.9,19
2014-2016,NTA2010,8548,9,Arden Heights,56.9,26
2014-2016,NTA2010,8554,9,Great Kills,50.5,35
2014-2016,Borough,1,1,Bronx,640.2,"20,779"
2014-2016,Borough,2,1,Brooklyn,239.0,"14,056"
2014-2016,Borough,3,1,Manhattan,284.9,"7,063"
2014-2016,Borough,4,1,Queens,193.0,"8,433"
2014-2016,Borough,5,1,Staten Island,135.4,"1,115"
2014-2016,Citywide,1,0,New York City,306.2,"51,446"
